| Modul                    | Beschreibung                                      | Status |
| ------------------------ | ------------------------------------------------- | ------ |
| `_abc`                   | C-Kern für `abc`-Modul                            | ✅ (built-in) |
| `_asyncio`               | C-Beschleuniger für asyncio                       | ✅ |
| `array`                  | Speicheroptimierte Arrays                         | ✅ |
| `binascii`               | Hex-, Base64- und Binärkonvertierung              | ✅ |
| `_bisect`                | Binäre Suche in sortierten Listen                 | ✅ |
| `_bz2`                   | BZip2-Kompression                                 | ✅ |
| `cmath`                  | Mathematik mit komplexen Zahlen                   | ✅ |
| `_codecs`                | Codec-Registrierung                               | ✅ (built-in) |
| `_codecs_cn`             | CJK-Codecs Chinesisch (Festland)                  | ✅ (.so SD-Karte) |
| `_codecs_hk`             | CJK-Codecs Chinesisch (Hongkong)                  | ✅ (.so SD-Karte) |
| `_codecs_iso2022`        | CJK-Codecs ISO-2022                               | ✅ (.so SD-Karte) |
| `_codecs_jp`             | CJK-Codecs Japanisch                              | ✅ (.so SD-Karte) |
| `_codecs_kr`             | CJK-Codecs Koreanisch                             | ✅ (.so SD-Karte) |
| `_codecs_tw`             | CJK-Codecs Chinesisch (Taiwan)                    | ✅ (.so SD-Karte) |
| `_collections`           | C-Kern für `collections`                          | ✅ (built-in) |
| `_contextvars`           | Kontextvariablen                                  | ✅ (built-in) |
| `_csv`                   | Schneller CSV-Parser                              | ✅ |
| `_ctypes`                | Foreign Function Interface (libffi PPC-SYSV)      | ✅ (.so SD-Karte) |
| `_datetime`              | C-Beschleuniger für `datetime`                    | ✅ (.so SD-Karte) |
| `_dbm`                   | DBM-Datenbanken (ndbm-Interface)                  | ✅ |
| `_decimal`               | C-Beschleuniger für `decimal` (libmpdec inline)   | ✅ (.so SD-Karte) |
| `_elementtree`           | XML-Verarbeitung                                  | ✅ |
| `errno`                  | POSIX-Fehlercodes                                 | ✅ (built-in) |
| `fcntl`                  | Unix-Dateideskriptor-Steuerung                    | ❌ (POSIX only) |
| `_functools`             | C-Kern für `functools`                            | ✅ (built-in) |
| `gc`                     | Garbage Collector                                 | ✅ (built-in) |
| `_gdbm`                  | GNU DBM-Datenbanken                               | ✅ |
| `grp`                    | Unix-Gruppeninformationen                         | ❌ (POSIX only) |
| `_hashlib`               | Hash-Backend (Wii-Shim → HACL* built-ins)         | ✅ (.py SD-Karte, leitet zu _md5/_sha*/_blake2 weiter) |
| `_heapq`                 | Prioritätswarteschlangen                          | ✅ |
| `_hmac`                  | HMAC (HACL*)                                      | ✅ |
| `_interpchannels`        | Interpreter-Kommunikation                         | ❌ |
| `_interpqueues`          | Interpreter-Warteschlangen                        | ❌ |
| `_interpreters`          | Mehrere Python-Interpreter                        | ❌ |
| `_io`                    | C-Kern für I/O                                    | ✅ (built-in) |
| `itertools`              | Iterator-Hilfswerkzeuge                           | ✅ (built-in) |
| `_json`                  | Schneller JSON-Parser                             | ✅ |
| `_lsprof`                | Profiler (`cProfile`)                             | ✅ |
| `_lzma`                  | LZMA/XZ-Kompression                              | ✅ |
| `marshal`                | Binäres Python-Objektformat                       | ✅ (built-in) |
| `math`                   | Mathematische Funktionen                          | ✅ |
| `_md5`                   | MD5-Hashfunktion (HACL*)                          | ✅ |
| `mmap`                   | Memory-Mapped Files                               | ❌ (kein mmap auf Wii) |
| `_multibytecodec`        | CJK-Multibyte-Codec-Framework                     | ✅ (.so SD-Karte) |
| `_multiprocessing`       | Unterstützung für `multiprocessing`               | ❌ (kein fork() auf Wii) |
| `_opcode`                | Bytecode-Operatoren                               | ✅ (built-in) |
| `_operator`              | C-Kern für `operator`                             | ✅ (built-in) |
| `_pickle`                | Schneller Pickle-Serializer                       | ✅ |
| `_posixsubprocess`       | Prozessstart (`fork`/`exec`)                      | ❌ (kein fork() auf Wii) |
